,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
mean,23043.522911051212,77.82793850460705,0.7412398921832885,0.2581740648309071,1368.121293800539,20-24,Mannheim,Osnabrück
max,37637.0,209.5335221903169,1.0,0.6076547390672751,10200.0,20-24,Mannheim,Osnabrück
min,5547.0,29.19073234559033,0.0,0.0,0.0,1-23,Aachen,Oberhausen
mean,16902.336996336995,37.57427927318645,2.021978021978022,0.17899814185734708,3670.065934065934,1-23,Aachen,Oberhausen
max,22346.0,152.0572291904006,3.0,0.414242284369868,12989.0,1-23,Aachen,Oberhausen
min,9408.0,10.656336186748717,0.0,0.0,0.0,16-5,Heidelberg,Bonn
mean,12664.378378378378,36.58207524640206,0.7837837837837838,0.2243784322687195,974.277027027027,16-5,Heidelberg,Bonn
max,21480.0,79.14409127986923,2.0,0.6317246641289922,10680.0,16-5,Heidelberg,Bonn
min,1380.0,5.436328256272472,0.0,0.0,0.0,17-20,Karlsruhe,Mannheim
mean,2324.8076923076924,12.007438483852772,0.0,0.15489073710168252,0.0,17-20,Karlsruhe,Mannheim
max,3714.0,20.77757460190308,0.0,0.5753084520919638,0.0,17-20,Karlsruhe,Mannheim
min,12060.0,21.018425710820026,0.0,0.0,0.0,7-17,Dortmund,Karlsruhe
mean,18154.241975308643,74.17046287343143,0.7703703703703704,0.22706223750006743,499.23703703703706,7-17,Dortmund,Karlsruhe
